impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
vortex_fused	4	8	2048	128	bf16	0.9114	0.9046	5.4204	5.4007	208.40	15	1		128	4	1	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	0.9133	0.9071	5.2900	5.2868	208.40	15	1		128	4	1	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	1.2176	1.2180	7.3479	7.3166	208.40	15	1		128	4	2	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	1.2223	1.2224	9.1439	9.1376	208.40	15	1		128	4	2	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	1.2256	1.2265	5.7098	5.7049	208.40	15	1		128	4	2	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	1.2267	1.2255	5.5966	5.5966	208.40	15	1		128	4	2	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	1.1134	1.1156	7.2809	7.2936	208.40	15	1		128	4	3	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	1.1114	1.1081	9.0552	9.0569	208.40	15	1		128	4	3	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	1.1096	1.1053	5.6455	5.6489	208.40	15	1		128	4	3	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	1.1113	1.1057	5.4982	5.4988	208.40	15	1		128	4	3	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	0.5250	0.5262	6.6563	6.6135	208.40	15	1		128	8	1	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	0.5283	0.5220	8.4452	8.4326	208.40	15	1		128	8	1	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	0.5368	0.5348	5.0627	5.0400	208.40	15	1		128	8	1	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	0.5288	0.5286	4.9402	4.9398	208.40	15	1		128	8	1	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	0.4898	0.4879	6.6595	6.6352	208.40	15	1		128	8	2	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	0.4961	0.4931	8.4444	8.4443	208.40	15	1		128	8	2	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	0.4920	0.4949	4.9875	4.9791	208.40	15	1		128	8	2	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	0.4887	0.4864	4.8679	4.8462	208.40	15	1		128	8	2	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	0.4828	0.4836	6.6187	6.6124	208.40	15	1		128	8	3	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	0.4910	0.4913	8.4028	8.4046	208.40	15	1		128	8	3	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	0.4884	0.4841	5.0287	5.0213	208.40	15	1		128	8	3	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	0.4892	0.4872	4.9254	4.9131	208.40	15	1		128	8	3	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	21.0268	21.0091	27.1240	27.1148	208.40	15	1		128	2	1	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	20.9993	20.9559	28.8999	28.8904	208.40	15	1		128	2	1	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	20.9394	20.9408	25.5127	25.4757	208.40	15	1		128	2	1	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	21.0687	21.1260	25.4452	25.4244	208.40	15	1		128	2	1	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	20.2398	20.1968	26.3903	26.4078	208.40	15	1		128	2	2	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	20.3072	20.2509	28.1107	28.0788	208.40	15	1		128	2	2	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	20.3229	20.3284	24.7624	24.7531	208.40	15	1		128	2	2	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	20.3302	20.3150	24.6567	24.6670	208.40	15	1		128	2	2	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	20.8295	20.8450	26.8827	26.8738	208.40	15	1		128	2	3	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	20.8245	20.7326	28.6429	28.6635	208.40	15	1		128	2	3	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	20.8395	20.7968	25.3354	25.3047	208.40	15	1		128	2	3	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	20.8036	20.8044	25.1248	25.1067	208.40	15	1		128	2	3	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	0.9081	0.9048	7.0673	7.0385	208.40	15	1		128	4	1	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	0.9107	0.9184	8.8533	8.8403	208.40	15	1		128	4	1	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	0.9151	0.9128	5.4389	5.4327	208.40	15	1		128	4	1	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	0.9056	0.9121	5.3075	5.3090	208.40	15	1		128	4	1	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	1.2192	1.2187	7.3570	7.3172	208.40	15	1		128	4	2	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	1.2305	1.2307	9.0983	9.0745	208.40	15	1		128	4	2	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	1.2282	1.2245	5.7291	5.7140	208.40	15	1		128	4	2	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	1.2228	1.2223	5.6006	5.5980	208.40	15	1		128	4	2	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	1.1203	1.1207	7.2918	7.2948	208.40	15	1		128	4	3	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	1.1174	1.1183	9.1136	9.1123	208.40	15	1		128	4	3	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	1.1143	1.1109	5.6758	5.6713	208.40	15	1		128	4	3	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	1.1171	1.1134	5.5238	5.5242	208.40	15	1		128	4	3	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	0.5433	0.5436	6.7804	6.7022	208.40	15	1		128	8	1	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	0.5303	0.5322	8.4814	8.4732	208.40	15	1		128	8	1	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	0.5310	0.5308	5.0610	5.0554	208.40	15	1		128	8	1	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	0.5299	0.5271	4.9284	4.9181	208.40	15	1		128	8	1	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	0.5005	0.4964	6.7171	6.7039	208.40	15	1		128	8	2	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	0.4999	0.4990	8.4530	8.4387	208.40	15	1		128	8	2	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	0.5510	0.4888	5.0340	5.0244	208.40	15	1		128	8	2	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	0.4982	0.4990	4.8801	4.8811	208.40	15	1		128	8	2	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	0.4887	0.4878	6.6731	6.6506	208.40	15	1		128	8	3	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	0.4829	0.4812	8.4106	8.4007	208.40	15	1		128	8	3	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	0.4880	0.4875	5.0144	5.0111	208.40	15	1		128	8	3	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	0.4861	0.4868	4.8979	4.8981	208.40	15	1		128	8	3	8	2	8	2	5
